==> installing Atari ROMs (idempotent)
AutoROM will download the Atari 2600 ROMs.
They will be installed to:
	/home/vestjejj/NoisyNetworks/.venv/lib/python3.11/site-packages/AutoROM/roms

Existing ROMs will be overwritten.
==> skipping asterix_base_noisy (already done)
==> skipping asterix_base_baseline (already done)
==> skipping asterix_ddqn_noisy (already done)
==> skipping asterix_ddqn_baseline (already done)
==> skipping asterix_per_noisy (already done)

==========================================
==> starting: asterix_per_baseline
==========================================
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
step  1500000 | reward(last100)   16.91 | eps 0.010 | elapsed 6210.1s
step  1510000 | reward(last100)   16.63 | eps 0.010 | elapsed 6257.1s
step  1520000 | reward(last100)   16.29 | eps 0.010 | elapsed 6305.1s
step  1530000 | reward(last100)   16.00 | eps 0.010 | elapsed 6352.4s
step  1540000 | reward(last100)   16.32 | eps 0.010 | elapsed 6398.7s
step  1550000 | reward(last100)   16.80 | eps 0.010 | elapsed 6445.8s
step  1560000 | reward(last100)   16.39 | eps 0.010 | elapsed 6492.3s
step  1570000 | reward(last100)   16.46 | eps 0.010 | elapsed 6540.0s
step  1580000 | reward(last100)   16.75 | eps 0.010 | elapsed 6586.2s
step  1590000 | reward(last100)   17.11 | eps 0.010 | elapsed 6632.9s
step  1600000 | reward(last100)   16.18 | eps 0.010 | elapsed 6679.9s
step  1610000 | reward(last100)   16.36 | eps 0.010 | elapsed 6727.9s
step  1620000 | reward(last100)   15.18 | eps 0.010 | elapsed 6774.9s
step  1630000 | reward(last100)   15.81 | eps 0.010 | elapsed 6821.5s
step  1640000 | reward(last100)   15.89 | eps 0.010 | elapsed 6867.7s
step  1650000 | reward(last100)   16.07 | eps 0.010 | elapsed 6913.7s
step  1660000 | reward(last100)   16.45 | eps 0.010 | elapsed 6959.8s
step  1670000 | reward(last100)   17.09 | eps 0.010 | elapsed 7006.2s
step  1680000 | reward(last100)   16.68 | eps 0.010 | elapsed 7053.6s
step  1690000 | reward(last100)   15.72 | eps 0.010 | elapsed 7095.4s
step  1700000 | reward(last100)   15.67 | eps 0.010 | elapsed 7135.3s
step  1710000 | reward(last100)   16.10 | eps 0.010 | elapsed 7175.0s
step  1720000 | reward(last100)   15.65 | eps 0.010 | elapsed 7215.4s
step  1730000 | reward(last100)   16.86 | eps 0.010 | elapsed 7255.1s
step  1740000 | reward(last100)   16.54 | eps 0.010 | elapsed 7295.2s
step  1750000 | reward(last100)   16.42 | eps 0.010 | elapsed 7334.9s
step  1760000 | reward(last100)   16.62 | eps 0.010 | elapsed 7374.6s
step  1770000 | reward(last100)   16.47 | eps 0.010 | elapsed 7415.8s
step  1780000 | reward(last100)   16.26 | eps 0.010 | elapsed 7455.9s
step  1790000 | reward(last100)   16.10 | eps 0.010 | elapsed 7495.9s
step  1800000 | reward(last100)   16.78 | eps 0.010 | elapsed 7535.8s
step  1810000 | reward(last100)   17.63 | eps 0.010 | elapsed 7576.3s
step  1820000 | reward(last100)   17.99 | eps 0.010 | elapsed 7616.3s
step  1830000 | reward(last100)   18.25 | eps 0.010 | elapsed 7657.2s
step  1840000 | reward(last100)   18.39 | eps 0.010 | elapsed 7697.8s
step  1850000 | reward(last100)   18.27 | eps 0.010 | elapsed 7738.7s
step  1860000 | reward(last100)   18.13 | eps 0.010 | elapsed 7779.8s
step  1870000 | reward(last100)   17.48 | eps 0.010 | elapsed 7820.4s
step  1880000 | reward(last100)   17.18 | eps 0.010 | elapsed 7861.4s
step  1890000 | reward(last100)   17.64 | eps 0.010 | elapsed 7901.4s
step  1900000 | reward(last100)   17.22 | eps 0.010 | elapsed 7941.8s
step  1910000 | reward(last100)   16.46 | eps 0.010 | elapsed 7982.1s
step  1920000 | reward(last100)   16.98 | eps 0.010 | elapsed 8022.6s
step  1930000 | reward(last100)   16.46 | eps 0.010 | elapsed 8063.6s
step  1940000 | reward(last100)   16.82 | eps 0.010 | elapsed 8104.6s
step  1950000 | reward(last100)   17.46 | eps 0.010 | elapsed 8146.0s
step  1960000 | reward(last100)   17.23 | eps 0.010 | elapsed 8186.0s
step  1970000 | reward(last100)   17.91 | eps 0.010 | elapsed 8223.9s
step  1980000 | reward(last100)   17.55 | eps 0.010 | elapsed 8261.2s
step  1990000 | reward(last100)   17.30 | eps 0.010 | elapsed 8299.0s
step  2000000 | reward(last100)   17.64 | eps 0.010 | elapsed 8338.6s
step  2010000 | reward(last100)   18.14 | eps 0.010 | elapsed 8379.0s
step  2020000 | reward(last100)   18.68 | eps 0.010 | elapsed 8416.6s
step  2030000 | reward(last100)   18.82 | eps 0.010 | elapsed 8455.7s
step  2040000 | reward(last100)   18.96 | eps 0.010 | elapsed 8497.4s
step  2050000 | reward(last100)   18.92 | eps 0.010 | elapsed 8540.4s
step  2060000 | reward(last100)   18.55 | eps 0.010 | elapsed 8582.1s
step  2070000 | reward(last100)   18.46 | eps 0.010 | elapsed 8623.7s
step  2080000 | reward(last100)   17.80 | eps 0.010 | elapsed 8665.3s
step  2090000 | reward(last100)   18.16 | eps 0.010 | elapsed 8706.0s
step  2100000 | reward(last100)   17.31 | eps 0.010 | elapsed 8746.9s
step  2110000 | reward(last100)   17.53 | eps 0.010 | elapsed 8786.8s
step  2120000 | reward(last100)   17.56 | eps 0.010 | elapsed 8827.5s
step  2130000 | reward(last100)   16.91 | eps 0.010 | elapsed 8870.0s
step  2140000 | reward(last100)   16.99 | eps 0.010 | elapsed 8912.2s
step  2150000 | reward(last100)   17.77 | eps 0.010 | elapsed 8952.8s
step  2160000 | reward(last100)   17.35 | eps 0.010 | elapsed 8993.3s
step  2170000 | reward(last100)   17.15 | eps 0.010 | elapsed 9034.6s
step  2180000 | reward(last100)   17.67 | eps 0.010 | elapsed 9076.1s
step  2190000 | reward(last100)   17.89 | eps 0.010 | elapsed 9116.9s
step  2200000 | reward(last100)   18.76 | eps 0.010 | elapsed 9156.9s
step  2210000 | reward(last100)   18.85 | eps 0.010 | elapsed 9196.7s
step  2220000 | reward(last100)   18.96 | eps 0.010 | elapsed 9235.9s
step  2230000 | reward(last100)   18.28 | eps 0.010 | elapsed 9275.1s
step  2240000 | reward(last100)   18.27 | eps 0.010 | elapsed 9314.3s
step  2250000 | reward(last100)   18.76 | eps 0.010 | elapsed 9355.3s
step  2260000 | reward(last100)   18.71 | eps 0.010 | elapsed 9395.9s
step  2270000 | reward(last100)   18.58 | eps 0.010 | elapsed 9437.4s
step  2280000 | reward(last100)   18.18 | eps 0.010 | elapsed 9478.9s
step  2290000 | reward(last100)   18.49 | eps 0.010 | elapsed 9520.0s
step  2300000 | reward(last100)   18.31 | eps 0.010 | elapsed 9560.8s
step  2310000 | reward(last100)   17.92 | eps 0.010 | elapsed 9601.0s
step  2320000 | reward(last100)   18.28 | eps 0.010 | elapsed 9641.4s
step  2330000 | reward(last100)   18.06 | eps 0.010 | elapsed 9682.4s
step  2340000 | reward(last100)   18.32 | eps 0.010 | elapsed 9723.8s
step  2350000 | reward(last100)   18.14 | eps 0.010 | elapsed 9764.9s
step  2360000 | reward(last100)   17.79 | eps 0.010 | elapsed 9804.8s
step  2370000 | reward(last100)   16.56 | eps 0.010 | elapsed 9845.7s
step  2380000 | reward(last100)   16.74 | eps 0.010 | elapsed 9886.4s
step  2390000 | reward(last100)   17.97 | eps 0.010 | elapsed 9926.9s
step  2400000 | reward(last100)   18.48 | eps 0.010 | elapsed 9967.2s
step  2410000 | reward(last100)   18.70 | eps 0.010 | elapsed 10008.4s
step  2420000 | reward(last100)   18.94 | eps 0.010 | elapsed 10050.3s
step  2430000 | reward(last100)   19.15 | eps 0.010 | elapsed 10092.4s
step  2440000 | reward(last100)   19.24 | eps 0.010 | elapsed 10143.7s
step  2450000 | reward(last100)   19.34 | eps 0.010 | elapsed 10194.6s
step  2460000 | reward(last100)   19.94 | eps 0.010 | elapsed 10245.5s
step  2470000 | reward(last100)   19.72 | eps 0.010 | elapsed 10297.3s
step  2480000 | reward(last100)   19.40 | eps 0.010 | elapsed 10349.4s
step  2490000 | reward(last100)   19.12 | eps 0.010 | elapsed 10400.8s
step  2500000 | reward(last100)   18.63 | eps 0.010 | elapsed 10452.1s
step  2510000 | reward(last100)   18.03 | eps 0.010 | elapsed 10502.5s
step  2520000 | reward(last100)   17.37 | eps 0.010 | elapsed 10553.4s
step  2530000 | reward(last100)   16.60 | eps 0.010 | elapsed 10604.9s
step  2540000 | reward(last100)   17.97 | eps 0.010 | elapsed 10655.7s
step  2550000 | reward(last100)   18.22 | eps 0.010 | elapsed 10707.6s
step  2560000 | reward(last100)   18.12 | eps 0.010 | elapsed 10758.9s
step  2570000 | reward(last100)   18.35 | eps 0.010 | elapsed 10810.5s
step  2580000 | reward(last100)   17.61 | eps 0.010 | elapsed 10861.4s
step  2590000 | reward(last100)   17.52 | eps 0.010 | elapsed 10912.7s
step  2600000 | reward(last100)   18.77 | eps 0.010 | elapsed 10964.2s
step  2610000 | reward(last100)   19.36 | eps 0.010 | elapsed 11015.8s
step  2620000 | reward(last100)   19.69 | eps 0.010 | elapsed 11068.2s
step  2630000 | reward(last100)   20.22 | eps 0.010 | elapsed 11121.5s
step  2640000 | reward(last100)   20.14 | eps 0.010 | elapsed 11168.7s
step  2650000 | reward(last100)   19.51 | eps 0.010 | elapsed 11219.3s
step  2660000 | reward(last100)   19.18 | eps 0.010 | elapsed 11269.9s
step  2670000 | reward(last100)   19.50 | eps 0.010 | elapsed 11318.4s
step  2680000 | reward(last100)   19.54 | eps 0.010 | elapsed 11366.9s
step  2690000 | reward(last100)   19.16 | eps 0.010 | elapsed 11416.5s
step  2700000 | reward(last100)   19.80 | eps 0.010 | elapsed 11465.5s
step  2710000 | reward(last100)   19.18 | eps 0.010 | elapsed 11514.3s
step  2720000 | reward(last100)   18.02 | eps 0.010 | elapsed 11562.7s
step  2730000 | reward(last100)   19.07 | eps 0.010 | elapsed 11611.4s
step  2740000 | reward(last100)   18.39 | eps 0.010 | elapsed 11660.9s
step  2750000 | reward(last100)   18.70 | eps 0.010 | elapsed 11710.6s
step  2760000 | reward(last100)   19.42 | eps 0.010 | elapsed 11759.9s
step  2770000 | reward(last100)   18.31 | eps 0.010 | elapsed 11809.7s
step  2780000 | reward(last100)   18.41 | eps 0.010 | elapsed 11860.0s
step  2790000 | reward(last100)   17.80 | eps 0.010 | elapsed 11908.0s
step  2800000 | reward(last100)   18.75 | eps 0.010 | elapsed 11960.2s
step  2810000 | reward(last100)   18.69 | eps 0.010 | elapsed 12013.3s
step  2820000 | reward(last100)   18.69 | eps 0.010 | elapsed 12066.6s
step  2830000 | reward(last100)   19.42 | eps 0.010 | elapsed 12118.0s
step  2840000 | reward(last100)   19.72 | eps 0.010 | elapsed 12173.4s
step  2850000 | reward(last100)   20.50 | eps 0.010 | elapsed 12228.9s
step  2860000 | reward(last100)   21.31 | eps 0.010 | elapsed 12281.5s
step  2870000 | reward(last100)   21.27 | eps 0.010 | elapsed 12331.8s
step  2880000 | reward(last100)   21.86 | eps 0.010 | elapsed 12382.6s
step  2890000 | reward(last100)   22.07 | eps 0.010 | elapsed 12435.0s
step  2900000 | reward(last100)   22.04 | eps 0.010 | elapsed 12487.2s
step  2910000 | reward(last100)   21.34 | eps 0.010 | elapsed 12540.9s
step  2920000 | reward(last100)   21.56 | eps 0.010 | elapsed 12593.2s
step  2930000 | reward(last100)   21.63 | eps 0.010 | elapsed 12645.2s
step  2940000 | reward(last100)   21.57 | eps 0.010 | elapsed 12696.8s
step  2950000 | reward(last100)   21.28 | eps 0.010 | elapsed 12750.3s
step  2960000 | reward(last100)   21.87 | eps 0.010 | elapsed 12802.5s
step  2970000 | reward(last100)   20.42 | eps 0.010 | elapsed 12853.4s
step  2980000 | reward(last100)   20.11 | eps 0.010 | elapsed 12904.8s
step  2990000 | reward(last100)   19.13 | eps 0.010 | elapsed 12958.2s
step  3000000 | reward(last100)   17.95 | eps 0.010 | elapsed 13012.5s
step  3010000 | reward(last100)   18.36 | eps 0.010 | elapsed 13068.2s
step  3020000 | reward(last100)   18.47 | eps 0.010 | elapsed 13117.8s
step  3030000 | reward(last100)   18.90 | eps 0.010 | elapsed 13168.4s
step  3040000 | reward(last100)   19.69 | eps 0.010 | elapsed 13221.9s
step  3050000 | reward(last100)   19.02 | eps 0.010 | elapsed 13274.1s
step  3060000 | reward(last100)   18.63 | eps 0.010 | elapsed 13327.3s
step  3070000 | reward(last100)   18.07 | eps 0.010 | elapsed 13379.8s
step  3080000 | reward(last100)   18.01 | eps 0.010 | elapsed 13432.8s
step  3090000 | reward(last100)   18.02 | eps 0.010 | elapsed 13486.6s
step  3100000 | reward(last100)   18.48 | eps 0.010 | elapsed 13541.1s
step  3110000 | reward(last100)   18.24 | eps 0.010 | elapsed 13594.5s
step  3120000 | reward(last100)   18.37 | eps 0.010 | elapsed 13649.8s
step  3130000 | reward(last100)   19.06 | eps 0.010 | elapsed 13700.4s
step  3140000 | reward(last100)   20.51 | eps 0.010 | elapsed 13751.4s
step  3150000 | reward(last100)   20.88 | eps 0.010 | elapsed 13798.9s
step  3160000 | reward(last100)   20.72 | eps 0.010 | elapsed 13855.3s
step  3170000 | reward(last100)   20.83 | eps 0.010 | elapsed 13901.0s
step  3180000 | reward(last100)   21.06 | eps 0.010 | elapsed 13946.0s
step  3190000 | reward(last100)   20.34 | eps 0.010 | elapsed 13987.6s
step  3200000 | reward(last100)   20.79 | eps 0.010 | elapsed 14027.0s
step  3210000 | reward(last100)   19.62 | eps 0.010 | elapsed 14064.9s
step  3220000 | reward(last100)   19.83 | eps 0.010 | elapsed 14102.8s
step  3230000 | reward(last100)   20.36 | eps 0.010 | elapsed 14142.1s
step  3240000 | reward(last100)   19.97 | eps 0.010 | elapsed 14182.7s
step  3250000 | reward(last100)   19.96 | eps 0.010 | elapsed 14224.0s
step  3260000 | reward(last100)   19.72 | eps 0.010 | elapsed 14263.2s
step  3270000 | reward(last100)   19.67 | eps 0.010 | elapsed 14303.7s
step  3280000 | reward(last100)   19.33 | eps 0.010 | elapsed 14344.4s
step  3290000 | reward(last100)   19.32 | eps 0.010 | elapsed 14385.4s
step  3300000 | reward(last100)   19.32 | eps 0.010 | elapsed 14426.1s
step  3310000 | reward(last100)   19.41 | eps 0.010 | elapsed 14466.6s
step  3320000 | reward(last100)   19.81 | eps 0.010 | elapsed 14508.3s
step  3330000 | reward(last100)   20.35 | eps 0.010 | elapsed 14551.9s
step  3340000 | reward(last100)   21.02 | eps 0.010 | elapsed 14597.4s
step  3350000 | reward(last100)   20.55 | eps 0.010 | elapsed 14642.0s
step  3360000 | reward(last100)   19.79 | eps 0.010 | elapsed 14685.7s
step  3370000 | reward(last100)   19.63 | eps 0.010 | elapsed 14729.7s
step  3380000 | reward(last100)   19.48 | eps 0.010 | elapsed 14774.0s
step  3390000 | reward(last100)   19.59 | eps 0.010 | elapsed 14818.6s
step  3400000 | reward(last100)   20.26 | eps 0.010 | elapsed 14862.6s
step  3410000 | reward(last100)   20.01 | eps 0.010 | elapsed 14907.0s
step  3420000 | reward(last100)   21.33 | eps 0.010 | elapsed 14950.8s
step  3430000 | reward(last100)   21.82 | eps 0.010 | elapsed 14995.4s
step  3440000 | reward(last100)   22.19 | eps 0.010 | elapsed 15042.4s
step  3450000 | reward(last100)   22.87 | eps 0.010 | elapsed 15090.8s
step  3460000 | reward(last100)   22.09 | eps 0.010 | elapsed 15139.3s
step  3470000 | reward(last100)   22.68 | eps 0.010 | elapsed 15187.9s
