step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    4.4s
step   545000 | reward(last100)  0.3728 | sigma 0.0246 | elapsed 1977.8s
step   550000 | reward(last100)  0.4061 | sigma 0.0246 | elapsed 1995.7s
step   555000 | reward(last100)  0.4028 | sigma 0.0246 | elapsed 2013.8s
step   560000 | reward(last100)  0.2083 | sigma 0.0246 | elapsed 2030.4s
step   565000 | reward(last100)  0.4078 | sigma 0.0246 | elapsed 2047.4s
step   570000 | reward(last100)  0.4948 | sigma 0.0246 | elapsed 2068.1s
step   575000 | reward(last100)  0.4370 | sigma 0.0246 | elapsed 2085.0s
step   580000 | reward(last100)  0.2580 | sigma 0.0246 | elapsed 2103.7s
step   585000 | reward(last100)  0.3923 | sigma 0.0246 | elapsed 2125.1s
step   590000 | reward(last100)  0.3841 | sigma 0.0246 | elapsed 2147.2s
step   595000 | reward(last100)  0.3957 | sigma 0.0246 | elapsed 2169.3s
step   600000 | reward(last100)  0.3889 | sigma 0.0246 | elapsed 2189.9s
step   605000 | reward(last100)  0.4331 | sigma 0.0246 | elapsed 2207.7s
step   610000 | reward(last100)  0.4372 | sigma 0.0246 | elapsed 2225.1s
step   615000 | reward(last100)  0.3914 | sigma 0.0246 | elapsed 2242.1s
step   620000 | reward(last100)  0.4664 | sigma 0.0246 | elapsed 2259.5s
step   625000 | reward(last100)  0.3610 | sigma 0.0246 | elapsed 2277.1s
step   630000 | reward(last100)  0.4427 | sigma 0.0246 | elapsed 2297.3s
step   635000 | reward(last100)  0.4319 | sigma 0.0246 | elapsed 2317.4s
step   640000 | reward(last100)  0.4280 | sigma 0.0246 | elapsed 2335.9s
step   645000 | reward(last100)  0.3932 | sigma 0.0246 | elapsed 2352.6s
step   650000 | reward(last100)  0.4849 | sigma 0.0246 | elapsed 2369.5s
step   655000 | reward(last100)  0.3692 | sigma 0.0246 | elapsed 2387.6s
step   660000 | reward(last100)  0.4141 | sigma 0.0246 | elapsed 2405.6s
step   665000 | reward(last100)  0.4387 | sigma 0.0246 | elapsed 2423.6s
step   670000 | reward(last100)  0.3242 | sigma 0.0246 | elapsed 2441.5s
step   675000 | reward(last100)  0.3902 | sigma 0.0246 | elapsed 2459.7s
step   680000 | reward(last100)  0.4161 | sigma 0.0246 | elapsed 2478.0s
step   685000 | reward(last100)  0.5473 | sigma 0.0246 | elapsed 2496.0s
step   690000 | reward(last100)  0.4330 | sigma 0.0246 | elapsed 2513.5s
step   695000 | reward(last100)  0.4365 | sigma 0.0246 | elapsed 2531.0s
step   700000 | reward(last100)  0.2637 | sigma 0.0246 | elapsed 2548.3s
step   705000 | reward(last100)  0.4095 | sigma 0.0246 | elapsed 2566.2s
step   710000 | reward(last100)  0.3370 | sigma 0.0246 | elapsed 2583.4s
step   715000 | reward(last100)  0.3605 | sigma 0.0246 | elapsed 2600.0s
step   720000 | reward(last100)  0.2607 | sigma 0.0246 | elapsed 2617.4s
step   725000 | reward(last100)  0.4533 | sigma 0.0246 | elapsed 2634.8s
step   730000 | reward(last100)  0.4502 | sigma 0.0246 | elapsed 2652.3s
step   735000 | reward(last100)  0.4691 | sigma 0.0246 | elapsed 2669.9s
