step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step   970000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3584.4s
step   975000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3603.2s
step   980000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3622.1s
step   985000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3641.1s
step   990000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3659.9s
step   995000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3679.0s
step  1000000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3698.4s
step  1005000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3716.6s
step  1010000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3735.2s
step  1015000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3755.7s
step  1020000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3778.0s
step  1025000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3797.8s
step  1030000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3815.6s
step  1035000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3833.4s
step  1040000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3851.4s
step  1045000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3869.2s
step  1050000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3887.0s
step  1055000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3905.1s
step  1060000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3923.1s
step  1065000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3943.0s
step  1070000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3964.2s
step  1075000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3984.3s
step  1080000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4004.7s
step  1085000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4025.2s
step  1090000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4047.3s
step  1095000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4070.6s
step  1100000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4093.1s
step  1105000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4112.4s
step  1110000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4131.4s
step  1115000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4150.4s
step  1120000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4168.3s
step  1125000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4187.6s
step  1130000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4206.8s
step  1135000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4226.2s
step  1140000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4245.5s
step  1145000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4267.8s
step  1150000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4290.5s
step  1155000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4311.0s
step  1160000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4331.2s
step  1165000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4352.2s
step  1170000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4373.4s
step  1175000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4394.0s
step  1180000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4416.4s
step  1185000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4440.6s
step  1190000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4464.7s
step  1195000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 4484.6s
step  1200000 | reward(last100)  0.0118 | sigma 0.0223 | elapsed 4506.5s
step  1205000 | reward(last100)  0.0118 | sigma 0.0219 | elapsed 4524.5s
step  1210000 | reward(last100)  0.0118 | sigma 0.0215 | elapsed 4541.3s
step  1215000 | reward(last100)  0.0118 | sigma 0.0212 | elapsed 4557.8s
