step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    5.6s
step   815000 | reward(last100)  0.0163 | sigma 0.0236 | elapsed 2991.0s
step   820000 | reward(last100)  0.0068 | sigma 0.0236 | elapsed 3007.6s
step   825000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 3024.7s
step   830000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 3045.2s
step   835000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 3068.2s
step   840000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 3091.3s
step   845000 | reward(last100)  0.0081 | sigma 0.0234 | elapsed 3109.8s
step   850000 | reward(last100)  0.0081 | sigma 0.0234 | elapsed 3127.4s
step   855000 | reward(last100)  0.0081 | sigma 0.0234 | elapsed 3143.7s
step   860000 | reward(last100)  0.0081 | sigma 0.0234 | elapsed 3159.3s
step   865000 | reward(last100)  0.0162 | sigma 0.0233 | elapsed 3175.0s
step   870000 | reward(last100)  0.0343 | sigma 0.0233 | elapsed 3190.6s
step   875000 | reward(last100)  0.0386 | sigma 0.0233 | elapsed 3207.8s
step   880000 | reward(last100)  0.0305 | sigma 0.0233 | elapsed 3225.4s
step   885000 | reward(last100)  0.0497 | sigma 0.0233 | elapsed 3243.0s
step   890000 | reward(last100)  0.0568 | sigma 0.0232 | elapsed 3260.5s
step   895000 | reward(last100)  0.0762 | sigma 0.0232 | elapsed 3278.0s
step   900000 | reward(last100)  0.0878 | sigma 0.0233 | elapsed 3295.4s
step   905000 | reward(last100)  0.1032 | sigma 0.0233 | elapsed 3317.1s
step   910000 | reward(last100)  0.1298 | sigma 0.0232 | elapsed 3332.9s
step   915000 | reward(last100)  0.1302 | sigma 0.0232 | elapsed 3348.6s
step   920000 | reward(last100)  0.1224 | sigma 0.0232 | elapsed 3364.2s
step   925000 | reward(last100)  0.1479 | sigma 0.0232 | elapsed 3381.2s
step   930000 | reward(last100)  0.1799 | sigma 0.0232 | elapsed 3398.6s
step   935000 | reward(last100)  0.1833 | sigma 0.0232 | elapsed 3416.1s
step   940000 | reward(last100)  0.1636 | sigma 0.0232 | elapsed 3433.3s
step   945000 | reward(last100)  0.1575 | sigma 0.0232 | elapsed 3450.5s
step   950000 | reward(last100)  0.1606 | sigma 0.0232 | elapsed 3467.9s
step   955000 | reward(last100)  0.1418 | sigma 0.0232 | elapsed 3485.7s
step   960000 | reward(last100)  0.0927 | sigma 0.0232 | elapsed 3502.0s
step   965000 | reward(last100)  0.0497 | sigma 0.0232 | elapsed 3519.4s
step   970000 | reward(last100)  0.0363 | sigma 0.0232 | elapsed 3536.7s
step   975000 | reward(last100)  0.0852 | sigma 0.0232 | elapsed 3554.0s
step   980000 | reward(last100)  0.0890 | sigma 0.0232 | elapsed 3571.3s
step   985000 | reward(last100)  0.0923 | sigma 0.0232 | elapsed 3588.7s
step   990000 | reward(last100)  0.0883 | sigma 0.0231 | elapsed 3606.1s
step   995000 | reward(last100)  0.0883 | sigma 0.0231 | elapsed 3623.6s
step  1000000 | reward(last100)  0.1155 | sigma 0.0231 | elapsed 3640.8s
step  1005000 | reward(last100)  0.0871 | sigma 0.0231 | elapsed 3657.3s
step  1010000 | reward(last100)  0.0823 | sigma 0.0231 | elapsed 3673.4s
step  1015000 | reward(last100)  0.0652 | sigma 0.0231 | elapsed 3689.5s
step  1020000 | reward(last100)  0.0663 | sigma 0.0231 | elapsed 3705.3s
step  1025000 | reward(last100)  0.0935 | sigma 0.0231 | elapsed 3722.5s
step  1030000 | reward(last100)  0.1211 | sigma 0.0231 | elapsed 3739.7s
step  1035000 | reward(last100)  0.1190 | sigma 0.0231 | elapsed 3757.0s
step  1040000 | reward(last100)  0.1260 | sigma 0.0231 | elapsed 3773.9s
step  1045000 | reward(last100)  0.1291 | sigma 0.0231 | elapsed 3789.4s
step  1050000 | reward(last100)  0.1373 | sigma 0.0231 | elapsed 3805.1s
step  1055000 | reward(last100)  0.1677 | sigma 0.0231 | elapsed 3821.2s
step  1060000 | reward(last100)  0.1544 | sigma 0.0230 | elapsed 3838.2s
step  1065000 | reward(last100)  0.1579 | sigma 0.0231 | elapsed 3858.3s
step  1070000 | reward(last100)  0.1614 | sigma 0.0230 | elapsed 3878.3s
step  1075000 | reward(last100)  0.1844 | sigma 0.0230 | elapsed 3898.2s
step  1080000 | reward(last100)  0.1922 | sigma 0.0230 | elapsed 3918.1s
step  1085000 | reward(last100)  0.1633 | sigma 0.0230 | elapsed 3936.5s
step  1090000 | reward(last100)  0.1953 | sigma 0.0230 | elapsed 3952.2s
step  1095000 | reward(last100)  0.2505 | sigma 0.0230 | elapsed 3967.7s
step  1100000 | reward(last100)  0.2488 | sigma 0.0230 | elapsed 3983.1s
step  1105000 | reward(last100)  0.2516 | sigma 0.0230 | elapsed 3999.6s
step  1110000 | reward(last100)  0.2660 | sigma 0.0230 | elapsed 4016.2s
step  1115000 | reward(last100)  0.2847 | sigma 0.0230 | elapsed 4033.8s
step  1120000 | reward(last100)  0.2746 | sigma 0.0230 | elapsed 4051.3s
step  1125000 | reward(last100)  0.3036 | sigma 0.0230 | elapsed 4068.6s
step  1130000 | reward(last100)  0.3343 | sigma 0.0230 | elapsed 4086.3s
step  1135000 | reward(last100)  0.3499 | sigma 0.0230 | elapsed 4105.2s
step  1140000 | reward(last100)  0.3499 | sigma 0.0230 | elapsed 4124.4s
step  1145000 | reward(last100)  0.3389 | sigma 0.0230 | elapsed 4141.2s
step  1150000 | reward(last100)  0.3225 | sigma 0.0230 | elapsed 4159.8s
step  1155000 | reward(last100)  0.3261 | sigma 0.0230 | elapsed 4177.7s
step  1160000 | reward(last100)  0.3147 | sigma 0.0230 | elapsed 4197.7s
step  1165000 | reward(last100)  0.3027 | sigma 0.0230 | elapsed 4218.2s
step  1170000 | reward(last100)  0.3348 | sigma 0.0229 | elapsed 4234.7s
step  1175000 | reward(last100)  0.3344 | sigma 0.0229 | elapsed 4250.6s
step  1180000 | reward(last100)  0.3972 | sigma 0.0229 | elapsed 4266.1s
step  1185000 | reward(last100)  0.3709 | sigma 0.0229 | elapsed 4281.7s
step  1190000 | reward(last100)  0.3725 | sigma 0.0229 | elapsed 4301.8s
step  1195000 | reward(last100)  0.3453 | sigma 0.0229 | elapsed 4321.9s
step  1200000 | reward(last100)  0.2971 | sigma 0.0229 | elapsed 4342.0s
step  1205000 | reward(last100)  0.2522 | sigma 0.0229 | elapsed 4358.9s
step  1210000 | reward(last100)  0.2315 | sigma 0.0229 | elapsed 4375.4s
step  1215000 | reward(last100)  0.1812 | sigma 0.0229 | elapsed 4391.9s
step  1220000 | reward(last100)  0.1285 | sigma 0.0229 | elapsed 4409.0s
step  1225000 | reward(last100)  0.1096 | sigma 0.0229 | elapsed 4428.9s
step  1230000 | reward(last100)  0.1243 | sigma 0.0229 | elapsed 4446.0s
step  1235000 | reward(last100)  0.1593 | sigma 0.0229 | elapsed 4463.3s
step  1240000 | reward(last100)  0.2545 | sigma 0.0229 | elapsed 4480.6s
step  1245000 | reward(last100)  0.3103 | sigma 0.0229 | elapsed 4498.1s
step  1250000 | reward(last100)  0.3410 | sigma 0.0229 | elapsed 4513.9s
step  1255000 | reward(last100)  0.3936 | sigma 0.0229 | elapsed 4532.2s
step  1260000 | reward(last100)  0.3896 | sigma 0.0229 | elapsed 4550.4s
step  1265000 | reward(last100)  0.3536 | sigma 0.0229 | elapsed 4569.4s
step  1270000 | reward(last100)  0.3473 | sigma 0.0228 | elapsed 4584.9s
step  1275000 | reward(last100)  0.3907 | sigma 0.0228 | elapsed 4600.1s
step  1280000 | reward(last100)  0.3547 | sigma 0.0228 | elapsed 4615.5s
step  1285000 | reward(last100)  0.3297 | sigma 0.0228 | elapsed 4631.0s
step  1290000 | reward(last100)  0.3195 | sigma 0.0228 | elapsed 4647.9s
step  1295000 | reward(last100)  0.2785 | sigma 0.0227 | elapsed 4664.6s
step  1300000 | reward(last100)  0.2134 | sigma 0.0227 | elapsed 4680.2s
step  1305000 | reward(last100)  0.2244 | sigma 0.0227 | elapsed 4696.2s
step  1310000 | reward(last100)  0.1946 | sigma 0.0227 | elapsed 4711.7s
